NodeName,NodePurpose,Node Instance,xName,Rack Number,uPos,Cluster Admin IPv6,Cluster Admin Network,"iDrac Network (iDrac)",iDrac Network (Local),InfiniBand (Public),InfiniBand ib0 (Private),InfiniBand ib0 #2(Private),InfiniBand ib1 (Private),InfiniBand ib1 #2(Private),Switch Management Network,Cluster Admin Network #2,Cluster Admin Network #3,Cluster Admin Network #4,Switch Management Network #2,PowerScale Admin Network #1,PowerScale Admin Network #2,PowerScale Admin Network #3,PowerScale Admin Network #4,PowerScale Storage Network #1,PowerScale Storage Network #2,PowerScale Storage Network #3,PowerScale Storage Network #4,"Side Door
Network",Notes,
cech-cdu0,cdu,0,x7003c0s1b0n0,x7003,1,, ,10.41.3.16, , , ,, ,, , ,,,, ,,,, ,,,,,,
cech-mgt2,mgt,2,x7002c0s28b0n0,x7002,28,,10.40.2.16,10.41.2.16,10.41.2.116,128.55.134.16,10.45.2.16,,10.45.2.116,,10.43.2.16,,,,,10.46.2.16,,,, ,,,,,,
cech-svc2,svc,2,x7002c0s29b0n0,x7002,29,,10.40.2.17,10.41.2.17,10.41.2.117,128.55.134.17,10.45.2.17,,10.45.2.117,,,,,,,,,,,,,,,,,
cech-slurm2,slurm,2,x7002c0s30b0n0,x7002,30,,10.40.2.18,10.41.2.18,,128.55.134.18,10.45.2.18,,10.45.2.118,,,,,,,,,,,,,,,,,
cech-ome2,ome,2,x7002c0s31b0n0,x7002,31,,10.40.2.19,10.41.2.19,10.41.2.119,128.55.134.19,10.45.2.19,,10.45.2.119,,,,,,,,,,,,,,,,,
cech-ufm2,ufm,2,x7002c0s32b0n0,x7002,32,,10.40.2.20,10.41.2.20,,128.55.134.20,10.45.2.20,,10.45.2.120,,,,,,,,,,,,,,,,,
cech-sfm2,sfm,2,x7002c0s33b0n0,x7002,33,,10.40.2.21,10.41.2.21,,128.55.134.21,10.45.2.21,,10.45.2.121,,10.43.2.21,,,,,,,,,,,,,,,
cech-wen2,wen,2,x7002c0s34b0n0,x7002,34,,10.40.2.22,10.41.2.22,,128.55.134.22,10.45.2.22,,10.45.2.122,,,,,,,,,,,,,,,,,
cech-ethLeaf3,ethLeaf,3,x7002c0s22w0,x7002,22,,,,,,,,,,10.43.2.23,,,,10.43.1.73,,,,,,,,,,,
cech-ethSpine2,ethSpine,2,x7002c0s42w0,x7002,42,,,,,,,,,,10.43.2.24,,,,,,,,,,,,,,,
cech-vast1,vast,1,x7002c0s3b0n0,x7002,3,,10.40.2.25,10.41.2.25,,128.55.134.25,10.45.2.25,10.45.2.75,10.45.2.125,10.45.2.190,,,,,,,,,,,,,,,,
cech-vast2,vast,2,x7002c0s4b0n0,x7002,4,,10.40.2.26,10.41.2.26,,128.55.134.26,10.45.2.26,10.45.2.76,10.45.2.126,10.45.2.191,,,,,,,,,,,,,,,,
cech-vast3,vast,3,x7002c0s5b0n0,x7002,5,,10.40.2.27,10.41.2.27,,128.55.134.27,10.45.2.27,10.45.2.77,10.45.2.127,10.45.2.192,,,,,,,,,,,,,,,,
cech-vast4,vast,4,x7002c0s6b0n0,x7002,6,,10.40.2.28,10.41.2.28,,128.55.134.28,10.45.2.28,10.45.2.78,10.45.2.128,10.45.2.193,,,,,,,,,,,,,,,,
cech-vast5,vast,5,x7002c0s7b0n0,x7002,7,,10.40.2.29,10.41.2.29,,128.55.134.29,10.45.2.29,10.45.2.79,10.45.2.129,10.45.2.194,,,,,,,,,,,,,,,,
cech-vast6,vast,6,x7002c0s8b0n0,x7002,8,,10.40.2.30,10.41.2.30,,128.55.134.30,10.45.2.30,10.45.2.80,10.45.2.130,10.45.2.195,,,,,,,,,,,,,,,,
cech-vast7,vast,7,x7002c0s9b0n0,x7002,9,,10.40.2.31,10.41.2.31,,128.55.134.31,10.45.2.31,10.45.2.81,10.45.2.131,10.45.2.196,,,,,,,,,,,,,,,,
cech-vast8,vast,8,x7002c0s10b0n0,x7002,10,,10.40.2.32,10.41.2.32,,128.55.134.32,10.45.2.32,10.45.2.82,10.45.2.132,10.45.2.197,,,,,,,,,,,,,,,,
cech-vast9,vast,9,x7002c0s11b0n0,x7002,11,,10.40.2.33,10.41.2.33,,128.55.134.33,10.45.2.33,10.45.2.83,10.45.2.133,10.45.2.198,,,,,,,,,,,,,,,,
cech-vast10,vast,10,x7002c0s12b0n0,x7002,12,,10.40.2.34,10.41.2.34,,128.55.134.34,10.45.2.34,10.45.2.84,10.45.2.134,10.45.2.199,,,,,,,,,,,,,,,,
cech-vast11,vast,11,x7002c0s13b0n0,x7002,13,,10.40.2.35,10.41.2.35,,128.55.134.35,10.45.2.35,10.45.2.85,10.45.2.135,10.45.2.200,,,,,,,,,,,,,,,,
cech-vastSw1,vastSw,1,x7002c0s15w0,x7002,15,,10.40.2.36,,,,,,,,,,,,,,,,,,,,,,,
cech-vastSw2,vastSw,2,x7002c0s16w0,x7002,16,,10.40.2.37,,,,,,,,,,,,,,,,,,,,,,,
cech-vastMgt1,vastMgt,1, ,x7002,16,,10.40.2.38,,,,,,,,,,,,,,,,,,,,,,,
